Date,Open,High,Low,Close,Adj Close,Volume
2016-05-05,4.980000,5.030000,4.570000,4.630000,3.781735,49549000
2016-05-06,4.600000,4.920000,4.580000,4.780000,3.904254,39798100
2016-05-09,4.500000,4.500000,4.150000,4.310000,3.520362,53759700
2016-05-10,4.460000,4.550000,4.320000,4.550000,3.716392,28067400
2016-05-11,4.650000,4.730000,4.460000,4.600000,3.757231,24711500
2016-05-12,4.490000,4.630000,4.310000,4.440000,3.626545,30936100
2016-05-13,4.410000,4.520000,4.120000,4.130000,3.373341,38125100
2016-05-16,4.290000,4.450000,4.180000,4.230000,3.455019,23886400
2016-05-17,4.240000,4.480000,4.100000,4.310000,3.520362,31873500
2016-05-18,4.120000,4.330000,4.100000,4.130000,3.373341,21786100
2016-05-19,3.960000,4.150000,3.890000,4.120000,3.365172,32261200
2016-05-20,4.220000,4.320000,3.900000,3.980000,3.250822,30157100
2016-05-23,3.870000,4.090000,3.850000,4.000000,3.267158,30779900
2016-05-24,4.140000,4.150000,3.880000,3.910000,3.193647,32215100
2016-05-25,3.960000,4.100000,3.910000,4.070000,3.324333,24162700
2016-05-26,4.210000,4.330000,4.000000,4.060000,3.316165,26262900
2016-05-27,4.070000,4.080000,3.930000,3.980000,3.250822,15536100
2016-05-31,3.920000,4.140000,3.910000,3.930000,3.209983,25392100
2016-06-01,3.870000,4.050000,3.850000,4.030000,3.291662,18610800
2016-06-02,3.960000,4.160000,3.950000,4.150000,3.389676,23434000
2016-06-03,4.300000,4.620000,4.290000,4.610000,3.765400,42428800
2016-06-06,4.740000,4.890000,4.630000,4.880000,3.985932,45512700
2016-06-07,4.780000,5.040000,4.760000,4.800000,3.920589,35749100
2016-06-08,4.960000,5.080000,4.870000,5.050000,4.124787,35124500
2016-06-09,4.960000,4.960000,4.550000,4.630000,3.781735,37814400
2016-06-10,4.370000,4.480000,4.330000,4.410000,3.602041,22147100
2016-06-13,4.280000,4.510000,4.260000,4.370000,3.569370,17992400
2016-06-14,4.310000,4.470000,4.150000,4.230000,3.455019,18625400
2016-06-15,4.400000,4.500000,4.280000,4.330000,3.536699,16094600
2016-06-16,4.290000,4.480000,4.210000,4.420000,3.610209,23255000
2016-06-17,4.570000,4.680000,4.420000,4.460000,3.642881,24479900
2016-06-20,4.680000,4.750000,4.590000,4.620000,3.773568,17867600
2016-06-21,4.660000,4.660000,4.490000,4.630000,3.781735,15779700
2016-06-22,4.750000,4.850000,4.670000,4.690000,3.830743,26368300
2016-06-23,4.870000,4.990000,4.770000,4.960000,4.051276,19944700
2016-06-24,4.530000,4.750000,4.490000,4.550000,3.716392,32268900
2016-06-27,4.570000,4.600000,4.320000,4.380000,3.577538,18258100
2016-06-28,4.550000,4.770000,4.550000,4.700000,3.838910,23100300
2016-06-29,4.920000,4.970000,4.810000,4.850000,3.961428,24353900
2016-06-30,5.000000,5.140000,4.920000,5.060000,4.132955,32573800
2016-07-01,5.010000,5.230000,4.990000,5.160000,4.214633,34514300
2016-07-05,5.100000,5.220000,4.860000,4.910000,4.010436,21734700
2016-07-06,4.820000,4.920000,4.680000,4.910000,4.010436,18514200
2016-07-07,5.000000,5.050000,4.720000,4.820000,3.936925,18245200
2016-07-08,5.010000,5.080000,4.890000,4.950000,4.043107,16300800
2016-07-11,5.060000,5.150000,5.020000,5.120000,4.181962,14217000
2016-07-12,5.340000,5.500000,5.320000,5.350000,4.369823,31326500
2016-07-13,5.390000,5.480000,5.200000,5.460000,4.459670,32299000
2016-07-14,5.530000,5.530000,5.280000,5.340000,4.361656,29253400
2016-07-15,5.290000,5.440000,5.270000,5.360000,4.377992,14320800
2016-07-18,5.260000,5.440000,5.220000,5.440000,4.443335,15857200
2016-07-19,5.300000,5.320000,5.050000,5.200000,4.247305,36039300
2016-07-20,5.100000,5.290000,5.050000,5.170000,4.222801,29301200
2016-07-21,5.270000,5.430000,5.220000,5.310000,4.337152,31639200
2016-07-22,5.290000,5.320000,5.110000,5.310000,4.337152,17232900
2016-07-25,5.280000,5.350000,5.180000,5.330000,4.353488,28924800
2016-07-26,5.390000,5.730000,5.330000,5.670000,4.631196,39581700
2016-07-27,5.750000,5.860000,5.690000,5.770000,4.712875,30641300
2016-07-28,5.770000,5.850000,5.640000,5.800000,4.737379,30650300
2016-07-29,5.790000,5.820000,5.600000,5.750000,4.696539,33007000
2016-08-01,5.820000,5.860000,5.500000,5.520000,4.508677,28353500
2016-08-02,5.590000,5.720000,5.430000,5.540000,4.525013,22449400
2016-08-03,5.440000,5.860000,5.390000,5.790000,4.729210,35992600
2016-08-04,5.730000,5.990000,5.720000,5.920000,4.835393,27155900
2016-08-05,5.950000,6.070000,5.910000,6.020000,4.917072,28812700
2016-08-08,6.020000,6.150000,5.920000,6.030000,4.925241,23004600
2016-08-09,6.110000,6.170000,6.040000,6.070000,4.957912,19741400
2016-08-10,6.110000,6.130000,5.780000,5.800000,4.737379,25213500
2016-08-11,5.880000,5.900000,5.710000,5.880000,4.802722,17709000
2016-08-12,5.740000,5.860000,5.600000,5.640000,4.606692,22953700
2016-08-15,5.720000,5.870000,5.700000,5.800000,4.737379,15621000
2016-08-16,5.900000,6.090000,5.880000,5.950000,4.859897,23436400
2016-08-17,5.800000,5.990000,5.730000,5.970000,4.876233,18848400
2016-08-18,6.020000,6.030000,5.810000,5.910000,4.827225,14388000
2016-08-19,5.860000,6.000000,5.800000,5.970000,4.876233,20636200
2016-08-22,5.860000,5.870000,5.700000,5.780000,4.721044,19763500
2016-08-23,5.900000,5.980000,5.830000,5.870000,4.794553,17883700
2016-08-24,5.760000,5.840000,5.600000,5.630000,4.598525,22830200
2016-08-25,5.650000,5.750000,5.600000,5.640000,4.606692,21084100
2016-08-26,5.720000,5.830000,5.370000,5.450000,4.451502,31588100
2016-08-29,5.440000,5.640000,5.420000,5.610000,4.582188,21267200
2016-08-30,5.500000,5.610000,5.420000,5.440000,4.443335,22226300
2016-08-31,5.400000,5.410000,5.180000,5.270000,4.304481,32234900
2016-09-01,5.290000,5.430000,5.220000,5.390000,4.402495,19249800
2016-09-02,5.490000,5.660000,5.440000,5.600000,4.574021,25964800
2016-09-06,5.490000,5.720000,5.440000,5.720000,4.672035,24588100
2016-09-07,5.540000,5.650000,5.530000,5.640000,4.606692,19978300
2016-09-08,5.670000,5.710000,5.500000,5.540000,4.525013,21195100
2016-09-09,5.440000,5.460000,5.150000,5.190000,4.239137,26480500
2016-09-12,5.080000,5.420000,5.060000,5.400000,4.410663,26580000
2016-09-13,5.220000,5.220000,4.860000,4.950000,4.043107,40403000
2016-09-14,4.960000,5.100000,4.920000,5.020000,4.100283,16760000
2016-09-15,5.010000,5.120000,4.900000,5.030000,4.108451,22876100
2016-09-16,4.960000,5.060000,4.910000,5.030000,4.108451,21449500
2016-09-19,5.160000,5.190000,5.040000,5.080000,4.149290,23949400
2016-09-20,5.120000,5.170000,5.040000,5.110000,4.173795,14542100
2016-09-21,5.330000,5.480000,5.280000,5.470000,4.467838,31832600
2016-09-22,5.570000,5.630000,5.370000,5.420000,4.426999,26226700
2016-09-23,5.390000,5.550000,5.380000,5.420000,4.426999,15016500
2016-09-26,5.400000,5.470000,5.350000,5.380000,4.394327,13172100
2016-09-27,5.310000,5.450000,5.270000,5.440000,4.443335,11258500
2016-09-28,5.510000,5.660000,5.430000,5.650000,4.614860,18909100
2016-09-29,5.660000,5.740000,5.490000,5.530000,4.516846,19621200
2016-09-30,5.560000,5.590000,5.430000,5.500000,4.492342,13523300
2016-10-03,5.540000,5.700000,5.490000,5.660000,4.623028,16082500
2016-10-04,5.650000,5.700000,5.390000,5.450000,4.451502,22742400
2016-10-05,5.540000,5.580000,5.460000,5.530000,4.516846,16024400
2016-10-06,5.480000,5.570000,5.460000,5.510000,4.500510,13134000
2016-10-07,5.670000,5.690000,5.470000,5.570000,4.549517,32938700
2016-10-10,5.670000,5.940000,5.630000,5.890000,4.810890,31308100
2016-10-11,5.910000,5.920000,5.690000,5.780000,4.721044,25446900
2016-10-12,5.730000,5.940000,5.710000,5.820000,4.753715,24206200
2016-10-13,5.650000,5.650000,5.510000,5.530000,4.516846,49022000
2016-10-14,5.690000,5.750000,5.560000,5.580000,4.557684,29115100
2016-10-17,5.600000,5.750000,5.600000,5.680000,4.639364,13345200
2016-10-18,5.820000,5.900000,5.730000,5.840000,4.770051,23689000
2016-10-19,5.860000,5.940000,5.790000,5.840000,4.770051,15130100
2016-10-20,5.920000,6.070000,5.870000,6.030000,4.925241,26151200
2016-10-21,6.010000,6.360000,5.960000,6.260000,5.113102,45185600
2016-10-24,6.470000,6.580000,6.380000,6.490000,5.300963,34526300
2016-10-25,6.580000,6.830000,6.580000,6.790000,5.546000,56115700
2016-10-26,6.780000,6.950000,6.630000,6.910000,5.644015,46194500
2016-10-27,7.020000,7.050000,6.830000,6.950000,5.676686,42385200
2016-10-28,6.980000,7.050000,6.860000,6.900000,5.635847,29352400
2016-10-31,6.930000,6.970000,6.770000,6.920000,5.652183,23959200
2016-11-01,6.990000,7.030000,6.640000,6.900000,5.635847,34997300
2016-11-02,6.820000,6.900000,6.700000,6.720000,5.488825,27616800
2016-11-03,6.920000,6.970000,6.730000,6.760000,5.521497,29597700
2016-11-04,6.660000,6.820000,6.590000,6.670000,5.447986,24528800
2016-11-07,7.050000,7.210000,7.010000,7.170000,5.856380,32529000
2016-11-08,7.210000,7.650000,7.140000,7.540000,6.158592,44753200
2016-11-09,7.720000,8.030000,7.670000,7.760000,6.338286,65108800
2016-11-10,7.890000,8.100000,7.700000,8.000000,6.534315,51736800
2016-11-11,8.040000,8.040000,7.560000,7.690000,6.281110,59338100
2016-11-14,7.690000,7.740000,7.410000,7.690000,6.281110,43153500
2016-11-15,7.310000,7.380000,6.850000,7.320000,5.978899,28917900
2016-11-16,7.290000,7.340000,7.060000,7.310000,5.970731,21640600
2016-11-17,7.360000,7.480000,7.240000,7.310000,5.970731,26517200
2016-11-18,7.060000,7.300000,7.000000,7.240000,5.913556,28474800
2016-11-21,7.440000,7.730000,7.430000,7.660000,6.256607,36040700
2016-11-22,8.110000,8.310000,8.000000,8.290000,6.771184,53670800
2016-11-23,8.100000,8.440000,8.060000,8.390000,6.852863,40948800
2016-11-25,8.320000,8.440000,8.150000,8.420000,6.877367,24372900
2016-11-28,8.440000,9.180000,8.400000,9.100000,7.432784,61928500
2016-11-29,8.700000,8.790000,8.450000,8.550000,6.983550,51248300
2016-11-30,8.420000,8.710000,8.400000,8.490000,6.934541,43212700
2016-12-01,8.800000,8.830000,8.070000,8.210000,6.705841,54459600
2016-12-02,8.110000,8.520000,8.100000,8.440000,6.935093,39886600
2016-12-05,8.610000,8.750000,8.530000,8.660000,7.115865,36695400
2016-12-06,8.610000,8.820000,8.520000,8.810000,7.239120,34440600
2016-12-07,9.110000,9.320000,8.950000,9.160000,7.526713,43931300
2016-12-08,9.260000,9.340000,8.850000,8.940000,7.345940,37289100
2016-12-09,8.910000,9.010000,8.730000,8.780000,7.214469,26109200
2016-12-12,8.910000,8.960000,8.730000,8.800000,7.230904,31607000
2016-12-13,8.770000,8.880000,8.440000,8.490000,6.976179,30186600
2016-12-14,8.380000,8.620000,8.250000,8.280000,6.803623,38042900
2016-12-15,8.210000,8.520000,8.090000,8.450000,6.943311,35684800
2016-12-16,8.390000,8.460000,8.150000,8.170000,6.713237,30734100
2016-12-19,8.080000,8.130000,7.710000,7.720000,6.343474,37517400
2016-12-20,7.860000,7.960000,7.720000,7.900000,6.491380,19822800
2016-12-21,8.020000,8.030000,7.880000,7.910000,6.499596,14345400
2016-12-22,7.760000,7.870000,7.640000,7.790000,6.400993,20751300
2016-12-23,7.760000,7.890000,7.690000,7.710000,6.335258,20262600
2016-12-27,7.910000,8.050000,7.870000,7.900000,6.491380,15143700
2016-12-28,8.150000,8.190000,8.000000,8.020000,6.589983,22012700
2016-12-29,8.090000,8.160000,7.790000,7.910000,6.499596,25083500
2016-12-30,7.920000,7.950000,7.540000,7.620000,6.261305,14623300
2017-01-03,7.890000,8.060000,7.840000,8.050000,6.614634,27690200
2017-01-04,8.030000,8.120000,7.840000,8.050000,6.614634,15069500
2017-01-05,8.080000,8.400000,8.070000,8.300000,6.820057,24451400
2017-01-06,8.150000,8.310000,7.990000,7.990000,6.565331,17527900
2017-01-09,8.310000,8.380000,8.200000,8.220000,6.754322,20748800
2017-01-10,8.620000,8.980000,8.600000,8.960000,7.362374,30706200
2017-01-11,8.880000,9.350000,8.780000,9.310000,7.649968,46744100
2017-01-12,9.370000,9.550000,9.320000,9.440000,7.756787,33624900
2017-01-13,9.280000,9.730000,9.220000,9.580000,7.871824,31394300
2017-01-17,9.540000,9.700000,9.450000,9.510000,7.814307,30060000
2017-01-18,9.700000,10.120000,9.660000,9.940000,8.167634,42953800
2017-01-19,9.840000,9.890000,9.650000,9.800000,8.052598,22852100
2017-01-20,9.760000,10.180000,9.730000,10.030000,8.241587,27984600
2017-01-23,10.320000,10.550000,10.170000,10.510000,8.636000,31544500
2017-01-24,10.790000,10.960000,10.490000,10.760000,8.841422,41303800
2017-01-25,10.740000,10.950000,10.560000,10.780000,8.857857,31829000
2017-01-26,10.670000,10.830000,10.550000,10.620000,8.726385,21797100
2017-01-27,10.720000,10.740000,10.570000,10.670000,8.767471,16642300
2017-01-30,10.550000,10.550000,10.260000,10.310000,8.471661,21128200
2017-01-31,10.460000,10.500000,10.150000,10.180000,8.364841,27452200
2017-02-01,10.490000,10.530000,10.330000,10.480000,8.611349,26423000
2017-02-02,10.580000,10.620000,10.360000,10.420000,8.562048,17498600
2017-02-03,10.060000,10.160000,9.700000,9.730000,7.995079,30767600
2017-02-06,9.710000,9.850000,9.530000,9.560000,7.855391,32247900
2017-02-07,9.870000,9.880000,9.610000,9.630000,7.912910,22221600
2017-02-08,9.670000,9.810000,9.590000,9.770000,8.027946,22291100
